Company,Weight
Microsoft Corp,3.26709
General Electric Co,3.24543
"Wal-Mart Stores, Inc",2.65241
Exxon Mobil Corp,2.64013
"Pfizer, Inc",2.57063
"Citigroup, Inc",2.5468
Intel Corp,1.94659
International Business Machines Corp,1.66223
"American International Group, Inc",1.63977
Johnson & Johnson Company,1.6008
"Cisco Systems, Inc *",1.49449
Procter & Gamble Co,1.3067
Bank of America Corp,1.2673
"Merck & Co, Inc",1.23134
Coca-Cola Co (The),1.14714
Verizon Communications Inc,0.97181
"Altria Group, Inc",0.96655
Wells Fargo & Co,0.93992
Dell Inc *,0.93398
Amgen Inc *,0.90635
"PepsiCo, Inc",0.85733
ChevronTexaco Corp,0.82992
SBC Communications Inc,0.80536
"Home Depot, Inc",0.79738
United Parcel Service Inc (Class B),0.78162
JP Morgan Chase & Co,0.75943
Comcast Corp (Class A) *,0.75702
Fannie Mae,0.74273
"AOL Time Warner, Inc *",0.74018
"Viacom, Inc *",0.73431
Lilly (Eli) & Co,0.72597
Abbott Laboratories,0.72262
Wyeth,0.66592
Hewlett-Packard Co,0.64253
Oracle Corp *,0.63986
American Express Co,0.63011
"Medtronic, Inc",0.62396
Wachovia Corp,0.59621
Morgan Stanley Dean Witter & Co,0.59468
3M Co,0.58777
"Merrill Lynch & Co, Inc",0.54248
Bristol-Myers Squibb Co,0.5403
US Bancorp,0.49874
BellSouth Corp,0.47936
Bank One Corp,0.47465
Disney(Walt) Co (The),0.44779
Tyco International Ltd,0.44399
Anheuser-Busch Companies Inc,0.44319
Lowe's Companies Inc,0.43845
Du Pont (EI) de Nemours,0.43234
"Goldman Sachs Group, Inc",0.43207
"Texas Instruments, Inc",0.42985
"Conoco Phillips, Inc",0.40262
"Washington Mutual, Inc",0.39922
United Technologies Corp,0.39349
Freddie Mac,0.39185
ebay Inc *,0.36999
Target Corp,0.36919
"QUALCOMM, Inc",0.35692
Gillette Co,0.35589
Fifth Third Bancorp,0.34678
FleetBoston Financial Corp,0.34425
Walgreen Co,0.34134
Colgate-Palmolive Co,0.32746
McDonald's Corp,0.32561
First Data Corp,0.32542
"UnitedHealth Group, Inc",0.32505
"Applied Materials, Inc *",0.32255
Dow Chemical Co,0.32107
MBNA Corp,0.3153
Boeing Co,0.31289
Schlumberger Ltd,0.30335
