Company,Weight
Exxon Mobil Corp,3.96223
General Electric Co,2.49182
Procter & Gamble Co,2.07718
Microsoft Corp,2.0586
Johnson & Johnson,1.90174
JPMorgan Chase & Co,1.68993
Chevron Corp,1.66531
"AT&T, Inc",1.61696
Bank of America Corp,1.56852
International Business Machines Corp,1.55729
"Wal-Mart Stores, Inc",1.31917
"Cisco Systems, Inc *",1.30967
"Pfizer, Inc",1.2216
Wells Fargo & Co,1.22044
Hewlett-Packard Co,1.11242
"Citigroup, Inc",1.09759
"PepsiCo, Inc",1.09652
ConocoPhillips,1.09406
Intel Corp,1.03485
Coca-Cola Co,1.03307
"Apple, Inc *",0.98953
"Philip Morris International, Inc",0.97435
"Google, Inc, (Class A) *",0.94024
"Schlumberger, Ltd",0.92018
"Verizon Communications, Inc",0.89808
Abbott Laboratories,0.8719
Oracle Corp *,0.78211
"QUALCOMM, Inc",0.69264
McDonald's Corp,0.68164
"Merck & Co, Inc",0.66419
"United Parcel Service, Inc (Class B)",0.62281
US Bancorp,0.61637
"Amgen, Inc *",0.61629
United Technologies Corp,0.56894
Walt Disney Co,0.56568
Occidental Petroleum Corp,0.56544
Comcast Corp (Class A),0.56269
"Medtronic, Inc",0.55527
"Goldman Sachs Group, Inc",0.5456
Monsanto Co,0.53476
"Kraft Foods, Inc (Class A)",0.48838
Wyeth,0.48385
CVS Caremark Corp,0.47452
3M Co,0.46925
"Time Warner, Inc",0.46139
"Anheuser-Busch Cos, Inc",0.45901
Eli Lilly & Co,0.4334
"Home Depot, Inc",0.43195
Boeing Co,0.41701
"Gilead Sciences, Inc *",0.41194
Bristol-Myers Squibb Co,0.40627
"Baxter International, Inc",0.40547
Exelon Corp,0.40512
American Express Co,0.4035
"Altria Group, Inc",0.40141
Devon Energy Corp,0.39637
"Merrill Lynch & Co, Inc",0.38022
"MetLife, Inc",0.37774
Colgate-Palmolive Co,0.37431
Bank of New York Mellon Corp,0.3675
Target Corp,0.36361
Lockheed Martin Corp,0.35868
Du Pont (EI) de Nemours & Co,0.35784
"Caterpillar, Inc",0.35691
Union Pacific Corp,0.3559
