Company,Weight
General Electric Co,3.40962
Exxon Mobil Corp,3.02321
Microsoft Corp,2.89163
Pfizer Inc,2.22138
"Citigroup, Inc",2.19805
"Wal-Mart Stores, Inc",2.1699
"American International Group, Inc",1.70263
Bank of America Corp,1.69486
Johnson & Johnson Co,1.60748
International Business Machines Corp,1.38104
JP Morgan Chase & Co,1.36092
Procter & Gamble Co,1.32271
Intel Corp,1.23726
"Cisco Systems, Inc *",1.17646
ChevronTexaco Corp,1.09876
Verizon Communications Inc,1.04783
Wells Fargo & Co,0.96734
Coca-Cola Co (The),0.93444
"Altria Group, Inc",0.92623
Dell Inc *,0.8545
"Home Depot, Inc",0.82737
SBC Communications Inc,0.82616
United Parcel Service Inc (Class B),0.82267
"PepsiCo, Inc",0.79252
"Time Warner, Inc *",0.7074
"Merck & Co, Inc",0.70494
Amgen Inc *,0.69205
Lilly (Eli) & Co,0.65012
Abbott Laboratories,0.63508
American Express Co,0.62738
Comcast Corp (Class A) *,0.60878
"QUALCOMM, Inc",0.60765
"Medtronic, Inc",0.60459
3M Co,0.60125
Wachovia Corp,0.59117
Fannie Mae,0.59068
Tyco International Ltd,0.59038
"eBay, Inc *",0.58236
Oracle Corp *,0.56333
"Viacom, Inc",0.56026
Hewlett-Packard Co,0.5445
"Conoco Phillips, Inc",0.54433
US Bancorp,0.52227
Morgan Stanley Dean Witter & Co,0.52032
Wyeth,0.48038
BellSouth Corp,0.47863
"UnitedHealth Group, Inc",0.47409
United Technologies Corp,0.4614
"Merrill Lynch & Co, Inc",0.44894
Disney (Walt) Co (The),0.44536
"Yahoo!, Inc *",0.44381
Bristol-Myers Squibb Co,0.44319
"Goldman Sachs Group, Inc",0.43254
Freddie Mac,0.43163
Boeing Co,0.41787
Du Pont (EI) de Nemours,0.41298
Lowe's Companies Inc,0.41035
Dow Chemical Co,0.40692
"Motorola, Inc",0.40638
Gillette Co,0.40263
Target Corp,0.39307
"AT&T Wireless Services, Inc *",0.3886
Anheuser-Busch Companies Inc,0.38614
Schlumberger Ltd,0.38075
First Data Corp,0.35854
Walgreen Co,0.35421
"Texas Instruments, Inc",0.35401
McDonald's Corp,0.34078
"Washington Mutual, Inc",0.32577
Boston Scientific Corp *,0.32184
Allstate Corp,0.31981
MBNA Corp,0.30913
Kimberly-Clark Corp,0.30715
"Honeywell International, Inc",0.29766
Carnival Corp,0.28654
"Alcoa, Inc",0.28204
Sprint Corp,0.28133
"MetLife, Inc",0.28082
Schering-Plough Corp,0.27079
"Illinois Tool Works, Inc",0.27066
EMC Corp *,0.26912
"Applied Materials, Inc *",0.26801
Fifth Third Bancorp,0.26788
"Caterpillar, Inc",0.26434
"Nextel Communications, Inc (Class A) *",0.25385
Emerson Electric Co,0.25067
Ford Motor Co,0.24748
FedEx Corp,0.24719
National City Corp,0.24613
"SunTrust Banks, Inc",0.24288
Lockheed Martin Corp,0.2404
"Prudential Financial, Inc",0.23477
"Automatic Data Processing, Inc",0.23211
Colgate-Palmolive Co,0.23184
General Motors Corp,0.23139
Exelon Corp,0.23025
Marsh & McLennan Companies Inc,0.23022
Cendant Corp,0.21949
"Bank of New York Co, Inc (The)",0.21819
BB&T Corp,0.21461
"Gannett Co, Inc",0.21435
St Paul Companies Inc (The),0.21175
Countrywide Financial Corp,0.21116
"Lehman Brothers Holdings, Inc",0.21106
Southern Co (The),0.21052
Occidental Petroleum Corp,0.20982
Duke Energy Corp,0.20656
"Dominion Resources, Inc",0.20481
"Nike, Inc (Class B)",0.2005
"Biogen Idec Inc, Com *",0.20023
"Avon Products, Inc",0.19882
Guidant Corp,0.1967
General Dynamics Corp,0.19583
"Aflac, Inc",0.19167
Newmont Mining Corp (Holding Co),0.1907
SLM Corp,0.18817
International Paper Co,0.18763
Baxter International Inc,0.18678
"Zimmer Holdings, Inc *",0.18538
Stryker Corp,0.18534
Northrop Grumman Corp,0.18483
Sysco Corp,0.18391
Costco Wholesale Corp,0.18201
"Cardinal Health, Inc",0.18111
"HCA, Inc",0.17808
Progressive Corp (The),0.17778
"Clear Channel Communications, Inc",0.17668
"Hartford Financial Services Group, Inc (The)",0.17444
Sara Lee Corp,0.1744
Starbucks Corp *,0.17379
Capital One Financial Corp,0.17071
Kellogg Co,0.1693
"Harley-Davidson, Inc",0.16859
"Best Buy Co, Inc",0.16827
Symantec Corp *,0.16514
Devon Energy Corp,0.1651
Raytheon Co,0.16479
Golden West Financial Corp,0.16274
ALLTEL Corp,0.16262
"Gap, Inc (The)",0.16198
Anadarko Petroleum Corp,0.1611
